Harbour Province Name,SCH Harbour Code,Harbour Name,Number,Name,,A,B,C,"Average Landed Value, 2009-2013 ($CAD)","Average Landed Quantity, 2009-2013 (KG)",Change in Total Landed Quantity (2004 and 2013),Number of Active Vessels Port of Landing (2013),"Number of Active Vessels, Port of Landing (2009-2013)",Average Fishing Income (2009-2012),Average Income with Tax Filers (2009-2012),% of Average Fishing Income to Average Employment Income (2009-2012) (based on 2006 CSD boundaries),Total Population For CSD (2011),,
Nova Scotia,1012,BAILEYS BROOK (LISMORE),1212011,"Pictou, Subd. C",,,,,2368153,1216109,-0.5171,20,29,212337,9883438,0.0215,8867,,
Newfoundland & Labrador,14,BAINE HARBOUR,1002031,"Division No.  2, Subd. C",,,,,441368,166368,-0.4464,9,9,208627,1509841,0.1382,596,,
Newfoundland & Labrador,15,BAKER'S BROOK & BERRY HEAD,1009009,"Division No.  9, Subd. A",,,,,140781,13705,-0.5212,3,3,81932,1285301,0.0637,117,,
Nova Scotia,,BALEINE,1217030,Cape Breton,,,,,51420,5197,NA,1,0,4980681,329033792,0.0151,97398,,
Nova Scotia,1014,BALLANTYNE'S COVE (MCNAIR'S COVE),1214001,"Antigonish, Subd. A",,,,,1679234,182267,-0.7417,36,45,NA,NA,NA,8253,,
Nova Scotia,,BARACHOIS,,,,,,,245178,26523,0.9305,1,2,NA,NA,NA,NA,,
Nova Scotia,,BARRACHOIS,,,,,,,175951,23599,0.0396,6,6,NA,NA,NA,NA,,
Newfoundland & Labrador,19,BARR'D HARBOUR,1009047,"Division No.  9, Subd. G",,,,,83921,32025,-0.7107,8,14,19852,79425,0.2500,49,,
New Brunswick,2505,BARRE-DE-COCAGNE (CORMIERVILLE),1308001,Dundas,,,,,48581,39832,NA,2,1,297265,25686429,0.0116,6282,,
Nova Scotia,,BARRINGTON,1201001,Shelburne,,,,,840,2073,-0.9989,NA,1,7802274,18868721,0.4135,6994,,
Nova Scotia,,BARRINGTON PASSAGE,1201001,Shelburne,,,,,38678,4103,-0.9827,NA,0,7802274,18868721,0.4135,6994,,
Nova Scotia,1018,BARRIOS BEACH (TRACADIE),1214006,"Antigonish, Subd. B",,,,,427708,48188,0.3526,5,6,282070,19653962,0.0144,6439,,
Newfoundland & Labrador,21,BARTLETTS HARBOUR,1009021,"Division No.  9, Subd. C",,,,,347476,49848,1.8252,25,34,1381827,7979120,0.1732,2729,,
New Brunswick,,BAS CAP PELE,1307007,Cap-Pelé,,,,,282965,43413,-0.0846,2,6,2354906,10830018,0.2174,2256,,
New Brunswick,2584,BAS-CARAQUET,1315026,Caraquet,25008,Shellfish - Lobster,Shellfish - Other,Shellfish - Sea Scallop,790718,258077,1.5886,12,9,488211,4381495,0.1114,1382,,
New Brunswick,2585,BAS-NEGUAC (LOWER NEGUAC),1309036,Alnwick,25010,Shellfish - Lobster,Shellfish - Sea Scallop,Shellfish - Other,381600,89179,0.2371,17,8,1422765,15412270,0.0923,5922,,
Nova Scotia,,BASS RIVER,1210012,,,,,,1364,622,7.3509,1,0,43187,17087049,0.0025,3642,,
New Brunswick,,BATHURST,,,,,,,8102,9108,-0.4524,NA,0,NA,NA,NA,NA,,
Newfoundland & Labrador,,BATTEAU,1010008,"Division No. 10, Subd. B",,,,,3918,3653,NA,2,2,177096,776036,0.2282,349,,
Newfoundland & Labrador,,BATTEAU HARBOUR,,,,,,,2524,2404,NA,2,3,NA,NA,NA,NA,,
Nova Scotia,1019,BATTERY POINT (VICTORIA BEACH),1205004,"Annapolis, Subd. A",26620,Shellfish - Lobster,Pelagic - Herring,Groundfish - Cod,NA,NA,NA,NA,5,1116846,8333732,0.1340,6008,,
Newfoundland & Labrador,24,BAULINE,1001565,"Division No.  1, Subd. D",,,,,NA,NA,NA,NA,NA,NA,NA,NA,115,,
Newfoundland & Labrador,25,BAULINE EAST,1001124,"Division No.  1, Subd. U",,,,,NA,NA,NA,NA,NA,348377,5856258,0.0595,1489,,
Newfoundland & Labrador,,"BAULINE SOUTH, SOUTHERN SHORE",,,,,,,18993,10347,-0.5574,3,4,NA,NA,NA,NA,,
Newfoundland & Labrador,,"BAULINE, CONCEPTION BAY ",,,,,,,235589,66451,0.0145,6,8,NA,NA,NA,NA,,
Newfoundland & Labrador,26,BAY BULLS,1001565,"Division No.  1, Subd. D",,,,,423341,125997,-0.5726,9,9,NA,NA,NA,115,,
Newfoundland & Labrador,28,BAY DE VERDE,1001347,Bay de Verde,,,,,17169697,6792639,-0.2676,98,95,589605,1285805,0.4585,398,,
Prince Edward Island,2006,BAY FORTUNE,1101031,Lot 43,,,,,NA,NA,NA,NA,NA,NA,NA,NA,746,,
Newfoundland & Labrador,30,BAY L'ARGENT,1002027,,,,,,322909,871905,-0.0333,6,8,31189,797721,0.0391,285,,
Newfoundland & Labrador,31,BAY ROBERTS,1001409,Bay Roberts,,,,,83551822,28459254,0.9318,11,12,877353,25898715,0.0339,5818,,
Nova Scotia,1020,BAY ST. LAWRENCE,1218006,"Victoria, Subd. A",,,,,4046726,774331,-0.4096,33,36,1386636,6782866,0.2044,2769,,
New Brunswick,2507,BAY-DU-VIN,1309001,Hardwicke,,,,,109519,50541,-0.8802,5,5,1242919,7129048,0.1743,2329,,
Nova Scotia,1021,BAYFIELD (POMQUET POINT),1214006,"Antigonish, Subd. B",,,,,1026239,124454,0.1174,12,12,282070,19653962,0.0144,6439,,
Nova Scotia,1022,BAYPORT,1206001,Lunenburg,,,,,338752,54918,1.1691,4,6,3281566,61655736,0.0532,25118,,
Prince Edward Island,2007,BEACH POINT,1101001,Lot 64,,,,,4943472,1655029,-0.3824,59,63,NA,NA,NA,905,,
Newfoundland & Labrador,547,BEACHSIDE,1008058,"Division No.  8, Subd. C",,,,,5456,4097,-0.9926,2,3,NA,NA,NA,527,,
Nova Scotia,,BEAR COVE,,,,,,,8506,1160,NA,2,1,NA,NA,NA,NA,,
Newfoundland & Labrador,,"BEAR COVE, ST. BARBE",,,,,,,6440,964,-0.1834,1,1,NA,NA,NA,NA,,
Nova Scotia,,BEAR ISLAND,,,,,,,812,378,1.1250,1,0,NA,NA,NA,NA,,
Nova Scotia,1025,BEAR POINT,1201001,Barrington,,,,,2471105,1064520,-0.7821,13,14,7802274,18868721,0.4135,6994,,
Nova Scotia,,BEAR RIVER,,,,,,,50896,23742,0.3429,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,34,BEAUMONT,1008056,Lushes Bight-Beaumont-Beaumont North,,,,,251708,79113,-0.3906,11,15,38022,610051,0.0623,220,,
New Brunswick,2508,BEAVER HARBOUR,1302011,Pennfield,,,,,775116,118052,2.0509,12,12,996295,7733990,0.1288,2218,,
Prince Edward Island,,BEDEQUE BAY,,,,,,,527824,190130,0.4960,2,1,NA,NA,NA,NA,,
Newfoundland & Labrador,,BELL ISLAND,1001494,,,,,,15828,3241,7.3303,3,2,NA,NA,NA,2346,,
Newfoundland & Labrador,,BELLBURNS,1009042,,,,,,9118,1193,-0.9575,1,2,NA,NA,NA,62,,
Prince Edward Island,,BELLE RIVER,1102001,Lot 62,,,,,66839,29813,-0.4867,1,2,34397,1797924,0.0191,470,,
New Brunswick,,BELLEDUNE,1314025,Restigouche,,,,,88814,2309,NA,NA,1,31,10733,0.0029,1548,,
Newfoundland & Labrador,574,BELLEORAM,1003001,"Division No.  3, Subd. A",,,,,6272033,846698,-0.0679,27,37,NA,NA,NA,5,,
Nova Scotia,,BELLEVILLE,1202001,Argyle,,,,,17252,9061,-0.9772,NA,1,8301417,26998789,0.3075,8252,,
Newfoundland & Labrador,,BELLEVUE,1001259,"Division No.  1, Subd. A",,,,,50563,5615,0.3048,2,3,171213,1644639,0.1041,757,,
New Brunswick,,BELLIVEAU VILLAGE,1307013,,,,,,96,62,-0.9397,1,1,71,59523,0.0012,4831,,
Nova Scotia,,BELLS ISLAND,,,,,,,44189,6474,-0.2187,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,,BENOITS COVE,,,,,,,705424,1298608,-0.0809,37,34,NA,NA,NA,NA,,
Quebec,,BERTHIER-SUR-MER,2418065,,,,,,3227,635,-0.4697,1,0,NA,NA,NA,1398,,
Newfoundland & Labrador,,BIDE ARM,1009027,,,,,,158928,639728,322.8262,5,5,43743,391282,0.1118,NA,,
Prince Edward Island,2010,BIDEFORD,1103034,Lot 12,,,,,35097,11036,-0.7478,NA,1,273015,3554215,0.0768,865,,
Nova Scotia,1027,BIG BRAS D'OR,1218001,"Victoria, Subd. B",,,,,1444007,245196,0.2093,15,17,296959,13825550,0.0215,3828,,
Newfoundland & Labrador,40,"BIG BROOK, ST. BARBE",1009021,"Division No.  9, Subd. C",,,,,15043,2070,-0.5279,2,2,1381827,7979120,0.1732,2729,,
New Brunswick,,BIG COVE,,,,,,,23112,17960,6.4565,1,0,NA,NA,NA,NA,,
Nova Scotia,,BIG ISLAND,1212011,"Pictou, Subd. C",,,,,147540,18935,-0.7818,2,2,212337,9883438,0.0215,8867,,
Nova Scotia,,BIG TANCOOK,,,,,,,954177,108175,-0.9116,17,14,NA,NA,NA,NA,,
Nova Scotia,1029,BIG TANCOOK ISLAND,1206001,Lunenburg,38735,Shellfish - Lobster,Pelagic - Herring,Pelagic - Other,NA,NA,0.5733,NA,NA,3281566,61655736,0.0532,25118,,
New Brunswick,,BIG TRACADIE RIVER,,,,,,,43216,48305,-0.2705,2,2,NA,NA,NA,NA,,
Newfoundland & Labrador,43,BIRD COVE,1009021,"Division No.  9, Subd. C",,,,,41598,38575,-0.2705,6,5,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,45,BLACK DUCK BROOK,1004022,"Division No.  4, Subd. E",,,,,97318,17632,-0.7596,7,6,33,800,0.0414,1973,,
Newfoundland & Labrador,46,BLACK DUCK COVE,1009021,"Division No.  9, Subd. C",,,,,395016,358523,-0.4123,8,10,1381827,7979120,0.1732,2729,,
Nova Scotia,,BLACK POINT,,,,,,,23285,5664,NA,4,3,NA,NA,NA,NA,,
New Brunswick,2513,BLACK RIVER,1301004,Simonds,,,,,268527,53754,-0.7836,2,4,283,58699,0.0048,3828,,
Nova Scotia,,BLACK ROCK,,,,,,,94272,10617,NA,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,609,BLACK TICKLE,1010008,"Division No. 10, Subd. B",,,,,567340,175077,-0.9301,6,10,177096,776036,0.2282,349,,
New Brunswick,2514,BLACKS HARBOUR,1302012,Blacks Harbour,,,,,5707986,16980703,-0.4159,15,16,397576,2998128,0.1326,982,,
Quebec,3984,BLANC SABLON -CALE DE HALAGE,2498005,Blanc-Sablon,,,,,NA,NA,NA,NA,NA,363356,6756699,0.0538,1118,,
Quebec,3531,BLANC SABLON-GRAND QUAI DES PECHEURS,2498005,Blanc-Sablon,,,,,NA,NA,NA,NA,NA,363356,6756699,0.0538,1118,,
Quebec,3985,BLANC SABLON-PETIT QUAI DES PECHEURS,2498005,Blanc-Sablon,,,,,NA,NA,NA,NA,NA,363356,6756699,0.0538,1118,,
Nova Scotia,1031,BLANDFORD (SHOAL COVE),1206009,Chester,,,,,448164,84182,-0.6995,6,8,514888,24549564,0.0210,10599,,
Newfoundland & Labrador,51,BLUE BEACH,1004022,"Division No.  4, Subd. E",,,,,NA,NA,NA,NA,NA,33,800,0.0414,1973,,
Newfoundland & Labrador,52,BLUE COVE,1009021,"Division No.  9, Subd. C",,,,,56912,37849,2.1148,6,8,1381827,7979120,0.1732,2729,,
Nova Scotia,,BLUE ROCKS,1206001,Lunenburg,,,,,175824,19256,0.1817,3,6,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,,BOAT HARBOUR,1002031,"Division No.  2, Subd. C",,,,,3387,1284,9.6777,2,2,208627,1509841,0.1382,596,,
Quebec,3533,BONAVENTURE (RIVIERE),2405045,Bonaventure,,,,,449558,176633,-0.0805,7,7,16054,9496436,0.0017,2775,,
Newfoundland & Labrador,54,BONAVISTA,1007024,"Division No.  7, Subd. G",,,,,5935471,1780771,-0.0780,56,63,77618,767825,0.1011,398,,
Prince Edward Island,2011,BORDEN - FISHERMEN'S WHARF,1103001,Lot 28,,,,,157639,58761,6.9541,8,5,NA,NA,NA,882,,
New Brunswick,2515,BOTSFORD (MURRAY CORNER),1307004,Botsford,,,,,970664,305874,0.2454,16,19,184264,2542776,0.0725,1074,,
New Brunswick,,BOUCTOUCHE,1308005,,,,,,69049,37326,-0.5000,3,2,519386,11535673,0.0450,2423,,
New Brunswick,,BOUCTOUCHE BAY,,,,,,,13226,8661,-0.1275,2,3,NA,NA,NA,NA,,
New Brunswick,,BOUCTOUCHE RIVER,,,,,,,47383,69813,-0.9232,2,3,NA,NA,NA,NA,,
Prince Edward Island,,BOUGHTON BAY,,,,,,,56542,21417,NA,NA,0,NA,NA,NA,NA,,
Prince Edward Island,,BOUGHTON RIVER,,,,,,,26923,10361,215.5914,1,1,NA,NA,NA,NA,,
Nova Scotia,,BOUTILIER'S COVE,,,,,,,144227,16635,NA,2,3,NA,NA,NA,NA,,
Nova Scotia,,BOUTILIER'S POINT,1209034,Halifax,,,,,127030,19128,2.8293,4,3,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,55,BOXEY,1003001,"Division No.  3, Subd. A",,,,,240264,63586,-0.6084,4,7,NA,NA,NA,5,,
Nova Scotia,,BOYLSTON,1213004,Guysborough,,,,,12570,1477,0.4961,2,1,2189058,11035667,0.1984,4189,,
New Brunswick,2516,BOYNES COVE,1302008,Lepreau,,,,,NA,NA,NA,NA,NA,462295,5818834,0.0794,752,,
Prince Edward Island,,BRAE HARBOUR,1103044,,,,,,3766,1475,3.3828,1,1,101613,1951184,0.0521,306,,
Newfoundland & Labrador,57,BRAGG'S ISLAND,1007051,"Division No.  7, Subd. B",,,,,132250,48546,-0.8198,7,9,NA,NA,NA,25,,
Newfoundland & Labrador,58,BRANCH,1001219,Branch,,,,,4009762,1126731,0.4237,15,13,409630,1555905,0.2633,247,,
New Brunswick,,BRANTVILLE,1309036,Alnwick,,,,,8236,1913,-0.9968,2,1,1422765,15412270,0.0923,5922,,
Newfoundland & Labrador,572,BRENT'S COVE,1008077,Brent's Cove,,,,,14612,17269,-0.9395,4,5,56602,474583,0.1193,181,,
Newfoundland & Labrador,59,BRIDGEPORT,1008031,"Division No.  8, Subd. H",41704,N/A,N/A,N/A,1427336,2392046,2.5786,36,54,518941,4950205,0.1048,2043,,
Nova Scotia,,BRIDGEWATER,1206004,,,,,,908,694,2.8761,1,0,948538,31672803,0.0299,8241,,
Newfoundland & Labrador,60,BRIG BAY,1009021,"Division No.  9, Subd. C",42803,Shellfish - Lobster,Shellfish - Snow Crab,Shellfish - Other,63711,23001,6.8417,3,5,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,61,BRIGHTON,1008055,,,,,,25433,6383,4347.6000,4,3,24417,830273,0.0294,171,,
Newfoundland & Labrador,62,BRIGUS,1001446,Brigus,,,,,1027382,270570,3.6773,3,7,98005,2489053,0.0394,750,,
Newfoundland & Labrador,63,BRIGUS SOUTH,1001124,"Division No.  1, Subd. U",,,,,240012,68311,-0.1651,NA,7,348377,5856258,0.0595,1489,,
Nova Scotia,1036,BROAD COVE,1206001,Lunenburg,,,,,106312,10154,68.1648,NA,0,3281566,61655736,0.0532,25118,,
Nova Scotia,1038,BROOKLYN-FISHERMEN'S WHARF / SKIDWAY,1204010,Queens,,,,,337058,35975,-0.6826,6,6,2613644,28495307,0.0917,10917,,
Newfoundland & Labrador,,BROOM POINT,,,,,,,7769,965,0.2986,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,69,BROWN'S COVE (HEATHERTON),1004006,"Division No.  4, Subd. B",,,,,NA,NA,NA,NA,9,58334,3199737,0.0182,1298,,
Prince Edward Island,,BRUDENELL RIVER,,,,,,,128542,63083,0.3493,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,73,BURGEO,1003028,Burgeo,,,,,995458,673779,-0.6721,24,27,209254,5062145,0.0413,1464,,
Newfoundland & Labrador,75,BURIN,1002001,"Division No.  2, Subd. E",,,,,2994830,1511401,-0.1860,20,27,65854,667856,0.0986,269,,
Newfoundland & Labrador,,BURNSIDE,1007038,"Division No.  7, Subd. D",,,,,100325,444927,0.0106,9,6,143,4968,0.0288,232,,
New Brunswick,2520,BURNT CHURCH,1309036,Alnwick,,,,,764096,121615,0.7431,16,17,1422765,15412270,0.0923,5922,,
Newfoundland & Labrador,80,BURNT ISLANDS,1003031,"Division No.  3, Subd. H",,,,,549028,296091,-0.8361,14,19,NA,NA,NA,727,,
Nova Scotia,1039,BUSH ISLAND,1206001,Lunenburg,,,,,695498,98796,0.2074,10,12,3281566,61655736,0.0532,25118,,
Quebec,,CACOUNA,2412057,,,,,,400691,189978,3.7826,2,1,NA,NA,NA,1939,,
Newfoundland & Labrador,85,CALVERT,1001124,"Division No.  1, Subd. U",,,,,747776,200743,-0.4863,6,7,348377,5856258,0.0595,1489,,
Nova Scotia,1040,CAMP COVE (LOWER ARGYLE),1202001,Argyle,,,,,NA,NA,NA,NA,27,8301417,26998789,0.3075,8252,,
Newfoundland & Labrador,86,CAMPBELLS CREEK,1004022,"Division No.  4, Subd. E",,,,,107812,13352,0.0764,4,4,33,800,0.0414,1973,,
Newfoundland & Labrador,,CAMPBELLTON,1008037,,,,,,2773,490,-0.8399,2,3,25043,2067367,0.0121,520,,
Nova Scotia,1041,CANADA CREEK,1207001,,,,,,111477,11967,-0.4168,1,1,25817,74661083,0.0003,22103,,
Quebec,,CANNES-DE-ROCHES (HAMEAU),2402005,Percé,,,,,256486,26998,-0.6110,NA,3,978725,7646058,0.1280,3312,,
Newfoundland & Labrador,88,CANNINGS COVE,1007031,"Division No.  7, Subd. E",,,,,162981,47100,0.2834,8,6,110629,8767145,0.0126,2714,,
Nova Scotia,1042,CANSO,1213004,Guysborough,,,,,11294608,2606068,1.1281,42,41,2189058,11035667,0.1984,4189,,
Quebec,3889,CAP-AUX-MEULES (PORT POLYVALENT),2401023,Les Îles-de-la-Madeleine,,,,,9834528,2253919,-0.5052,68,65,598409,1542285,0.3880,12291,,
Quebec,3987,CAP-CHAT - NOUVEAU HAVRE,2404047,Cap-Chat,,,,,NA,NA,-0.5502,NA,5,24932,6491756,0.0038,2623,,
New Brunswick,2587,CAP-DE-SAINT-LOUIS,1308021,Saint-Louis,,,,,1832277,330450,0.2998,26,29,204488,2081859,0.0982,1741,,
New Brunswick,2523,CAP-DES-CAISSIE,1308001,Dundas,,,,,732951,218045,0.0673,8,12,297265,25686429,0.0116,6282,,
Quebec,,CAP-DES-ROSIERS,2403005,Gaspé,,,,,219727,68107,0.4803,1,2,3184211,55870550,0.0570,15163,,
Newfoundland & Labrador,89,CAPE BROYLE,1001124,"Division No.  1, Subd. U",,,,,6096976,1634244,-0.0650,22,32,348377,5856258,0.0595,1489,,
Prince Edward Island,,CAPE EGMONT,1103026,Lot 15,,,,,442575,186877,-0.6538,21,20,NA,NA,NA,1122,,
Newfoundland & Labrador,90,CAPE FREELS NORTH,1007056,"Division No.  7, Subd. A",,,,,342200,121224,-0.7773,15,17,107997,493255,0.2189,144,,
Nova Scotia,1044,CAPE JOHN,1212001,"Pictou, Subd. A",,,,,337654,89914,1.0925,9,11,352662,11924084,0.0296,6397,,
Newfoundland & Labrador,,CAPE RAY,1003031,"Division No.  3, Subd. H",,,,,3180,2218,0.5057,1,1,NA,NA,NA,727,,
Nova Scotia,,CAPE SABLE,,,,,,,67309,24144,-0.1121,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,95,CAPE ST. GEORGE (ROUZES BROOK),1004022,"Division No.  4, Subd. E",51104,Shellfish - Lobster,Shellfish - Snow Crab,Other,4997,1366,5.0977,1,1,33,800,0.0414,1973,,
Nova Scotia,1046,CAPE ST.MARYS,1203001,Clare,52305,Shellfish - Snow Crab,Groundfish - Cod,Shellfish - Lobster,2295733,244548,-0.0588,7,10,3859802,20826716,0.1853,8319,,
New Brunswick,2527,CAPE TORMENTINE,1307004,Botsford,52305,Shellfish - Snow Crab,Groundfish - Cod,Shellfish - Lobster,813718,346463,0.0935,23,20,184264,2542776,0.0725,1074,,
New Brunswick,2619,CAP-LUMIÈRE (RICHIBUCTO CAPE),1308016,Richibucto,,,,,1145579,458185,2.0066,31,26,411615,4838284,0.0851,1986,,
New Brunswick,2525,CAP-PELÉ,1307004,Botsford,,,,,6635,9018,1.5848,NA,0,184264,2542776,0.0725,1074,,
Newfoundland & Labrador,97,CAPSTAN ISLAND,1010001,"Division No. 10, Subd. A",,,,,12794,13782,-0.1483,3,2,NA,NA,NA,49,,
Quebec,,CAP-VERT (ILES-MADELEINE),2401023,Les Îles-de-la-Madeleine,,,,,59279,6367,-0.7298,1,0,598409,1542285,0.3880,12291,,
New Brunswick,2528,CARAQUET,1315026,Caraquet,,,,,15554867,9183502,-0.1686,42,43,488211,4381495,0.1114,1382,,
New Brunswick,,CARAQUET BAY,,,,,,,7962,2928,-0.9287,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,98,CARBONEAR,1001370,Carbonear,,,,,542061,164427,-0.7375,15,15,652745,21215902,0.0308,4739,,
Prince Edward Island,,CARDIGAN BAY,,,,,,,167925,86299,-0.1602,3,3,NA,NA,NA,NA,,
Nova Scotia,1364,CARIBOU FERRY - FISHERMEN'S FACILITIES,1212001,"Pictou, Subd. A",,,,,3842050,4348361,0.2503,71,71,352662,11924084,0.0296,6397,,
Quebec,3544,CARLETON-SECTION DES PECHEURS,2406013,Carleton-sur-Mer,,,,,236956,242886,-0.1313,13,13,NA,NA,NA,3991,,
